2026-04-29 20:16:28 1674692160 samples/HG00099/hap1_vs_hg38.gz
2026-04-29 20:17:02     118907 samples/HG00099/hap1_vs_hg38.gz.tbi
2026-07-17 13:49:48   14153613 samples/HG00099/hap2.refbed.gz
2026-07-17 13:49:53     214420 samples/HG00099/hap2.refbed.gz.tbi
2026-04-29 20:17:09 1790395999 samples/HG00099/hap2_vs_chm13.gz
2026-04-29 20:17:41     116192 samples/HG00099/hap2_vs_chm13.gz.tbi
2026-04-29 20:17:06 1677782575 samples/HG00099/hap2_vs_hg38.gz
2026-04-29 20:17:37     119079 samples/HG00099/hap2_vs_hg38.gz.tbi
2026-08-02 13:49:06 3840929529 samples/HG00099/hg38.hic
2025-11-29 02:40:16 2632380189 samples/HG00099/methylation.ONT.hap1.modbed.gz
2025-11-29 02:40:21    1229992 samples/HG00099/methylation.ONT.hap1.modbed.gz.tbi
2025-11-29 02:41:01 2620290201 samples/HG00099/methylation.ONT.hap2.modbed.gz
2025-11-29 02:40:26    1221408 samples/HG00099/methylation.ONT.hap2.modbed.gz.tbi
2026-01-20 13:37:58  288787098 samples/HG00099/methylation.PacBio.hap1.methylc.gz
2026-01-20 13:38:03    1803079 samples/HG00099/methylation.PacBio.hap1.methylc.gz.tbi
2026-01-20 13:38:06  289390228 samples/HG00099/methylation.PacBio.hap2.methylc.gz
2026-01-20 13:38:11    1810012 samples/HG00099/methylation.PacBio.hap2.methylc.gz.tbi
2026-07-16 01:46:24    3050536 samples/HG00126/CGI.bed.gz
2026-07-16 01:46:27     490092 samples/HG00126/CGI.bed.gz.tbi
2026-07-16 01:51:49       3893 samples/HG00126/HMMFlagger.ONT.bed.gz
2026-07-16 01:51:52      10688 samples/HG00126/HMMFlagger.ONT.bed.gz.tbi
2026-07-16 01:51:55       6182 samples/HG00126/HMMFlagger.PacBio.bed.gz
2026-07-16 01:51:58      11002 samples/HG00126/HMMFlagger.PacBio.bed.gz.tbi
2025-11-26 17:59:13  179359846 samples/HG00126/RepeatMasker.hap1.bb
2025-11-26 17:59:13  187066922 samples/HG00126/RepeatMasker.hap2.bb
2025-12-13 17:11:13 4042717477 samples/HG00126/chm13.hic
2025-11-27 00:00:33   14542182 samples/HG00126/expression.minus.chm13.bw
2026-07-22 22:51:04   11829759 samples/HG00126/expression.minus.hap1.combined.bw
2026-07-22 22:50:57    5485239 samples/HG00126/expression.minus.hap1.specific.bw
2026-07-22 22:51:09   12239098 samples/HG00126/expression.minus.hap2.combined.bw
2026-07-22 22:51:01    5926710 samples/HG00126/expression.minus.hap2.specific.bw
2025-11-23 14:48:37   14580075 samples/HG00126/expression.minus.hg38.bw
2025-11-27 00:00:29   14989258 samples/HG00126/expression.plus.chm13.bw
2026-07-22 22:50:48   12186878 samples/HG00126/expression.plus.hap1.combined.bw
2026-07-22 22:50:41    5636314 samples/HG00126/expression.plus.hap1.specific.bw
2026-07-22 22:50:53   12656563 samples/HG00126/expression.plus.hap2.combined.bw
2026-07-22 22:50:45    6080058 samples/HG00126/expression.plus.hap2.specific.bw
2025-11-23 14:48:32   15041451 samples/HG00126/expression.plus.hg38.bw
2026-07-17 13:49:56   13677660 samples/HG00126/hap1.refbed.gz
2026-07-17 13:50:00     204176 samples/HG00126/hap1.refbed.gz.tbi
2026-04-29 20:17:45 1671231177 samples/HG00126/hap1_vs_chm13.gz
2026-04-29 20:18:14     113742 samples/HG00126/hap1_vs_chm13.gz.tbi
2026-04-29 20:17:41 1606475971 samples/HG00126/hap1_vs_hg38.gz
2026-04-29 20:18:10     113697 samples/HG00126/hap1_vs_hg38.gz.tbi
2026-07-17 13:50:04   13975649 samples/HG00126/hap2.refbed.gz
2026-07-17 13:50:08     211806 samples/HG00126/hap2.refbed.gz.tbi
2026-04-29 20:18:18 1726335872 samples/HG00126/hap2_vs_chm13.gz
2026-04-29 20:18:48     114119 samples/HG00126/hap2_vs_chm13.gz.tbi
2026-04-29 20:18:14 1668847930 samples/HG00126/hap2_vs_hg38.gz
2026-04-29 20:18:42     118045 samples/HG00126/hap2_vs_hg38.gz.tbi
2026-08-02 13:48:00 4046866784 samples/HG00126/hg38.hic
2025-11-29 02:41:47 3060954416 samples/HG00126/methylation.ONT.hap1.modbed.gz
2025-11-29 02:40:30    1443951 samples/HG00126/methylation.ONT.hap1.modbed.gz.tbi
2025-11-29 02:42:35 3024418974 samples/HG00126/methylation.ONT.hap2.modbed.gz
2025-11-29 02:40:34    1450998 samples/HG00126/methylation.ONT.hap2.modbed.gz.tbi
2026-01-20 13:38:15  281726932 samples/HG00126/methylation.PacBio.hap1.methylc.gz
2026-01-20 13:38:19    1748537 samples/HG00126/methylation.PacBio.hap1.methylc.gz.tbi
2026-01-20 13:38:22  283899191 samples/HG00126/methylation.PacBio.hap2.methylc.gz
2026-01-20 13:38:27    1791430 samples/HG00126/methylation.PacBio.hap2.methylc.gz.tbi
2026-07-16 01:46:31    3102062 samples/HG00128/CGI.bed.gz
2026-07-16 01:46:34     502740 samples/HG00128/CGI.bed.gz.tbi
2026-07-16 01:52:02       4605 samples/HG00128/HMMFlagger.ONT.bed.gz
2026-07-16 01:52:05      11548 samples/HG00128/HMMFlagger.ONT.bed.gz.tbi
2026-07-16 01:52:08       4111 samples/HG00128/HMMFlagger.PacBio.bed.gz
2026-07-16 01:52:11       7926 samples/HG00128/HMMFlagger.PacBio.bed.gz.tbi
2025-11-26 17:59:12  187696954 samples/HG00128/RepeatMasker.hap1.bb
